site,site.int,pass,pass.int,location,loc.int,site.index,propPO,date2,date.int,sex,stage,stagebin
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,M,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,M,A,0
A,1,7,6,even,3,3,0.41,7_3,20,M,A,0
A,1,7,6,even,3,3,0.41,7_3,20,M,A,0
A,1,7,6,even,3,3,0.41,7_3,20,F,A,0
A,1,7,6,even,3,3,0.41,7_3,20,NA,A,0
A,1,7,6,even,3,3,0.41,7_3,20,NA,A,0
A,1,1,1,even,3,3,0.41,1_4,3,NA,H,1
A,1,7,6,even,3,3,0.41,7_3,20,NA,H,1
A,1,7,6,even,3,3,0.41,7_3,20,NA,H,1
A,1,7,6,even,3,3,0.41,7_3,20,NA,H,1
A,1,1,1,rare,4,4,0.09,1_5,4,F,A,0
A,1,7,6,rare,4,4,0.09,7_7,24,M,A,0
A,1,7,6,rare,4,4,0.09,7_7,24,F,A,0
A,1,7,6,rare,4,4,0.09,7_7,24,F,A,0
A,1,7,6,rare,4,4,0.09,7_4,21,NA,H,1
A,1,7,6,rare,4,4,0.09,7_7,24,NA,H,1
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,M,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,F,A,0
B,2,3,3,all ,1,5,0.98,3_2,9,M,A,0
B,2,6,5,all ,1,5,0.98,6_5,18,F,A,0
B,2,6,5,all ,1,5,0.98,6_5,18,F,A,0
B,2,6,5,all ,1,5,0.98,6_5,18,M,A,0
B,2,6,5,all ,1,5,0.98,6_5,18,F,A,0
B,2,6,5,all ,1,5,0.98,6_5,18,F,A,0
B,2,6,5,all ,1,5,0.98,6_5,18,F,A,0
B,2,6,5,all ,1,5,0.98,6_5,18,NA,A,0
B,2,9,8,all ,1,5,0.98,9_2,29,M,A,0
B,2,9,8,all ,1,5,0.98,9_2,29,F,A,0
B,2,9,8,all ,1,5,0.98,9_2,29,F,A,0
B,2,9,8,all ,1,5,0.98,9_2,29,F,A,0
B,2,9,8,all ,1,5,0.98,9_2,29,F,A,0
B,2,9,8,all ,1,5,0.98,9_2,29,F,A,0
B,2,9,8,all ,1,5,0.98,9_2,29,M,A,0
